Date,Location,Temperature_C,Rainfall_mm,Humidity_%,WindSpeed_kmph
2023-01-01,Delhi,39.7,0.0,85.0,0.0
2023-01-01,Karnal,29.4,9.3,51.0,14.6
2023-01-01,Ludhiana,16.4,13.6,73.6,10.0
2023-01-01,Nagpur,27.5,0.0,77.8,11.0
2023-01-01,Indore,35.4,0.0,30.8,9.3
2023-01-02,Delhi,24.5,0.0,64.4,5.4
2023-01-02,Karnal,10.9,0.0,32.5,4.7
2023-01-02,Ludhiana,27.4,13.5,56.1,1.2
2023-01-02,Nagpur,33.4,0.0,62.8,0.2
2023-01-02,Indore,33.3,25.0,49.9,10.7
2023-01-03,Delhi,39.5,46.9,56.5,0.2
2023-01-03,Karnal,11.6,49.3,37.5,2.3
2023-01-03,Ludhiana,21.0,0.0,42.4,11.2
2023-01-03,Nagpur,34.6,14.6,44.3,11.8
2023-01-03,Indore,32.6,41.9,43.4,12.4
2023-01-04,Delhi,30.0,0.0,55.6,2.8
2023-01-04,Karnal,34.6,0.0,72.1,13.3
2023-01-04,Ludhiana,19.2,0.0,35.8,1.3
2023-01-04,Nagpur,26.1,19.0,49.3,13.5
2023-01-04,Indore,33.6,0.0,47.1,5.2
2023-01-05,Delhi,14.9,0.0,36.0,7.0
2023-01-05,Karnal,21.2,33.7,70.6,6.3
2023-01-05,Ludhiana,33.9,0.0,48.1,9.2
2023-01-05,Nagpur,39.1,0.0,53.8,8.2
2023-01-05,Indore,24.3,0.0,89.0,6.5
2023-01-06,Delhi,33.2,40.2,54.8,11.0
2023-01-06,Karnal,27.6,0.0,60.0,2.7
2023-01-06,Ludhiana,25.1,46.6,41.5,9.1
2023-01-06,Nagpur,32.9,0.0,46.9,14.6
2023-01-06,Indore,14.9,0.0,73.6,1.8
2023-01-07,Delhi,30.6,43.2,41.0,14.1
2023-01-07,Karnal,34.2,0.0,31.7,13.2
2023-01-07,Ludhiana,34.7,0.0,58.4,13.8
2023-01-07,Nagpur,37.6,0.0,42.1,3.8
2023-01-07,Indore,19.7,0.0,42.7,13.8
2023-01-08,Delhi,33.9,0.0,76.5,14.3
2023-01-08,Karnal,24.8,0.0,34.9,4.7
2023-01-08,Ludhiana,35.1,0.0,49.1,12.2
2023-01-08,Nagpur,36.0,15.6,55.4,3.9
2023-01-08,Indore,14.0,0.0,31.8,9.7
2023-01-09,Delhi,33.2,0.0,71.4,5.3
2023-01-09,Karnal,10.5,0.0,36.4,1.4
2023-01-09,Ludhiana,19.5,10.6,72.5,14.3
2023-01-09,Nagpur,21.6,35.4,50.1,2.8
2023-01-09,Indore,34.9,0.0,46.0,7.1
2023-01-10,Delhi,35.8,0.0,60.3,2.8
2023-01-10,Karnal,33.9,0.0,57.9,4.1
2023-01-10,Ludhiana,10.8,0.0,42.7,9.4
2023-01-10,Nagpur,26.9,0.0,55.1,1.5
2023-01-10,Indore,21.9,0.0,77.4,8.9
2023-01-11,Delhi,28.5,0.0,48.8,1.5
2023-01-11,Karnal,25.4,0.0,36.0,2.1
2023-01-11,Ludhiana,27.0,0.0,77.4,1.4
2023-01-11,Nagpur,19.5,38.3,74.0,1.5
2023-01-11,Indore,10.0,0.0,66.0,10.9
2023-01-12,Delhi,18.6,0.0,80.1,1.8
2023-01-12,Karnal,24.1,0.0,46.6,13.3
2023-01-12,Ludhiana,35.3,0.0,46.5,7.4
2023-01-12,Nagpur,14.3,0.0,41.7,1.6
2023-01-12,Indore,10.1,0.0,52.9,12.1
2023-01-13,Delhi,12.7,6.4,35.5,14.2
2023-01-13,Karnal,35.2,0.0,38.7,9.5
2023-01-13,Ludhiana,35.4,9.4,57.7,7.4
2023-01-13,Nagpur,15.8,22.2,80.3,2.6
2023-01-13,Indore,26.0,0.0,59.6,0.0
2023-01-14,Delhi,33.4,0.0,38.6,6.0
2023-01-14,Karnal,11.8,27.1,84.6,8.6
2023-01-14,Ludhiana,36.4,0.0,52.5,4.9
2023-01-14,Nagpur,28.8,0.0,31.7,7.5
2023-01-14,Indore,15.7,30.9,31.1,2.7
2023-01-15,Delhi,21.8,0.0,80.6,1.5
2023-01-15,Karnal,26.8,0.0,72.5,2.4
2023-01-15,Ludhiana,31.7,0.0,42.8,1.3
2023-01-15,Nagpur,17.5,0.0,46.9,10.9
2023-01-15,Indore,23.8,0.0,62.6,2.1
2023-01-16,Delhi,29.4,4.6,68.0,1.9
2023-01-16,Karnal,34.7,0.0,45.0,5.4
2023-01-16,Ludhiana,31.0,2.9,43.6,7.7
2023-01-16,Nagpur,10.2,0.0,75.1,11.7
2023-01-16,Indore,22.6,46.6,85.9,2.9
2023-01-17,Delhi,39.0,0.0,54.2,3.6
2023-01-17,Karnal,36.2,0.0,53.6,2.0
2023-01-17,Ludhiana,34.9,0.0,88.0,7.6
2023-01-17,Nagpur,29.2,0.0,45.9,14.7
2023-01-17,Indore,23.5,0.0,39.9,10.5
2023-01-18,Delhi,32.6,48.5,62.2,6.4
2023-01-18,Karnal,16.3,46.6,49.4,13.0
2023-01-18,Ludhiana,13.0,29.9,54.7,2.4
2023-01-18,Nagpur,17.0,35.0,60.8,10.5
